,Car,Colour,Price,Links
381,2022 RAM 1500,Black,"$64,265",https://www.carpages.ca/new-cars/british-columbia/surrey/2022-ram-1500-8394318/
382,2022 Jeep Grand Wagoneer,Grey,"$98,948",https://www.carpages.ca/new-cars/british-columbia/surrey/2022-jeep-grand-wagoneer-8394291/
383,2022 Ford Escape,Blue,"$45,244",https://www.carpages.ca/new-cars/alberta/edmonton/2022-ford-escape-8393814/
384,2013 Lexus GS 450H HYBRID,White,"$19,995",https://www.carpages.ca/used-cars/ontario/london/2013-lexus-gs-450h-hybrid-8393067/
385,2009 Toyota Prius,Brown,"$9,995",https://www.carpages.ca/used-cars/british-columbia/black-creek/2009-toyota-prius-8392377/
386,2008 Lexus LS 600H,Grey,"$26,988",https://www.carpages.ca/used-cars/ontario/toronto/2008-lexus-ls-600h-8392083/
387,2022 Jeep Wrangler,Sting-Grey,"$67,290",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-wrangler-8391894/
388,2022 Volvo XC60,Denim Blue Metallic,"$74,455",https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-8391186/
389,2022 Volvo XC60,SILVER DAWN METALLIC,"$69,545",https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-volvo-xc60-8391183/
390,2022 Ford Mustang MACH-E,Grabber Blue Metallic,"$73,370",https://www.carpages.ca/new-cars/ontario/sturgeon-falls/2022-ford-mustang-mach-e-8390976/
391,2019 Tesla Model 3,,"$59,995",https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2019-tesla-model-3-8390718/
392,2020 Ford F-350,Oxford White,"$72,937.25",https://www.carpages.ca/used-cars/ontario/ottawa/2020-ford-f-350-8390649/
393,2022 Jeep Grand Wagoneer,Diamond Black Crystal Pearl,"$101,074",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-jeep-grand-wagoneer-8387214/
394,2022 Ford F-150,Black,"$64,230",https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-8386839/
395,2019 Ford Transit,Black,"$48,488",https://www.carpages.ca/used-cars/ontario/oakville/2019-ford-transit-8386731/
396,2019 Ford Fusion,Blue,"$35,650",https://www.carpages.ca/used-cars/nova-scotia/yarmouth/2019-ford-fusion-8385852/
397,2022 Tesla Model Y,Grey,"$97,700",https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-y-8383323/
398,2018 Tesla Model 3,Silver,"$62,950",https://www.carpages.ca/used-cars/ontario/oakville/2018-tesla-model-3-8383320/
399,2021 Audi Q5,Florett Silver Metallic,"$68,000",https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-audi-q5-8382879/
400,2022 Hyundai Tucson,Deep Sea Blue,"$41,999",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-tucson-8382558/
401,2022 Hyundai Tucson,Crystal White,"$41,799",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-tucson-8382549/
402,2022 Jeep Wrangler,Black,"$53,629",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-jeep-wrangler-8382513/
403,2020 Ford Escape,Red,"$41,788",https://www.carpages.ca/used-cars/ontario/guelph/2020-ford-escape-8382462/
404,2022 Jeep Grand Wagoneer,Silver Zynith,"$89,975",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-grand-wagoneer-8381907/
405,2019 Ford Fusion,Blue,"$35,650",https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2019-ford-fusion-8381700/
406,2022 Ford F-150,Oxford White,"$65,109",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381646/
407,2022 Ford F-150,Atlas Blue Metallic,"$70,019",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381643/
408,2022 Ford F-150,Asher Grey,"$69,040",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381622/
409,2022 Ford F-150,Antimatter Blue,"$64,690",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381616/
410,2022 Ford F-150,Agate Black Metallic,"$65,869",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381613/
411,2022 Ford F-150,ICONIC SILVER,"$69,019",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381610/
412,2022 Ford F-150,Atlas Blue Metallic,"$65,109",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8381601/
413,2022 Ford F-150,RAPID RED MET TINTED CC,"$63,905",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8381475/
414,2022 Ford Escape,STAR WHITE METALLIC TRI-COAT,"$46,144",https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-escape-8381451/
415,2017 Nissan Leaf,Deep Blue Pearl,"$35,888",https://www.carpages.ca/used-cars/ontario/brantford/2017-nissan-leaf-8380986/
416,2022 Ford Escape,Carbonized Grey Metallic,"$44,644",https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8380920/
417,2017 Tesla Model S,,"$94,888",https://www.carpages.ca/used-cars/british-columbia/abbotsford/2017-tesla-model-s-8380515/
418,2018 Mercedes-Benz GL350,Silver,"$44,995",https://www.carpages.ca/used-cars/ontario/brampton/2018-mercedes-benz-gl350-8380434/
419,2017 Tesla Model S,Pearl White Multi-Coat,"$85,995",https://www.carpages.ca/used-cars/ontario/north-york/2017-tesla-model-s-8380284/
420,2021 Tesla Model Y,Deep Blue Metallic,"$91,995",https://www.carpages.ca/used-cars/ontario/kingston/2021-tesla-model-y-8380149/
421,2022 Hyundai Tucson,Grey,"$43,124",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-tucson-8379444/
422,2020 Toyota Corolla,White,"$36,895",https://www.carpages.ca/used-cars/alberta/red-deer/2020-toyota-corolla-8379372/
423,2022 Tesla Model 3,Deep Blue Metallic,"$81,992",https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-3-8379324/
424,2022 Ford F-150,Carbonized Grey Metallic,"$99,655",https://www.carpages.ca/new-cars/saskatchewan/carlyle/2022-ford-f-150-8378682/
425,2021 Ford F-150,Agate Black Metallic,"$89,995",https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-ford-f-150-8378094/
426,2020 Ford Fusion,Black,"$34,877",https://www.carpages.ca/used-cars/saskatchewan/prince-albert/2020-ford-fusion-8377428/
427,2022 RAM 1500,Granite Crystal Metallic,"$82,594",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ram-1500-8377029/
428,2017 Honda Accord,White,"$35,800",https://www.carpages.ca/used-cars/british-columbia/new-westminster/2017-honda-accord-8376966/
429,2022 Jeep Wrangler,Black,"$80,600",https://www.carpages.ca/new-cars/ontario/bolton/2022-jeep-wrangler-8376837/
430,2022 Jeep Wrangler,Gray,"$82,805",https://www.carpages.ca/new-cars/ontario/bolton/2022-jeep-wrangler-8376834/
431,2020 Tesla Model 3,N/A,"$66,995",https://www.carpages.ca/used-cars/british-columbia/surrey/2020-tesla-model-3-8376408/
432,2022 Mercedes-Benz E-Class,Obsidian Black Met,"$104,480",https://www.carpages.ca/new-cars/newfoundland-and-labrador/st-john-s/2022-mercedes-benz-e-class-8376300/
433,2022 Ford F-150,Carbonized Grey Metallic,"$68,700",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8376009/
434,2022 Ford F-150,Antimatter Blue Metallic,"$78,940",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8375982/
435,2022 Ford F-150,Carbonized Grey Metallic,"$78,780",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8375979/
436,2022 Ford F-150,RAPID RED MET TINTED CC,"$71,920",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8375973/
437,2022 Hyundai IONIQ,Phantom Blk,"$55,989",https://www.carpages.ca/new-cars/ontario/kanata/2022-hyundai-ioniq-8375355/
438,2022 Hyundai IONIQ,Atlas White,"$51,010",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-hyundai-ioniq-8374056/
439,2022 Hyundai Tucson,ASH BLACK,"$42,774",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-hyundai-tucson-8373999/
440,2022 Hyundai Elantra,SPACE BLACK,"$28,574",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-hyundai-elantra-8373993/
441,2022 Hyundai Tucson,Grey,"$40,999",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-tucson-8373930/
442,2022 Tesla Model Y,White,"$114,950",https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-y-8371917/
443,2022 RAM 1500,Billet Silver Metallic,"$58,270",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8371809/
444,2022 RAM 1500,Diamond Black Crystal Pearlcoat,"$77,479",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ram-1500-8371038/
445,2018 Toyota Highlander,Black,"$46,995",https://www.carpages.ca/used-cars/ontario/guelph/2018-toyota-highlander-8371011/
446,2020 Porsche Cayenne,Dark Blue,"$119,910",https://www.carpages.ca/used-cars/ontario/vaughan/2020-porsche-cayenne-8368833/
447,2022 RAM 1500,Black,"$74,870",https://www.carpages.ca/new-cars/alberta/peace-river/2022-ram-1500-8368683/
448,2022 Jeep Wrangler,Black,"$72,455",https://www.carpages.ca/new-cars/alberta/peace-river/2022-jeep-wrangler-8368671/
449,2021 Jeep Wrangler,Black,"$46,994",https://www.carpages.ca/used-cars/british-columbia/richmond/2021-jeep-wrangler-8368164/
450,2022 Tesla Model Y,Pearl White Multi-Coat,"$98,992",https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8368158/
451,2019 Jeep Wrangler,Blue,"$54,900",https://www.carpages.ca/used-cars/alberta/edmonton/2019-jeep-wrangler-8368092/
452,2017 Kia Optima,Black[Aurora Black],"$26,500",https://www.carpages.ca/used-cars/manitoba/winnipeg/2017-kia-optima-8367930/
453,2022 RAM 1500,Hydro Blue Pearl,"$81,769",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ram-1500-8365962/
454,2018 Toyota Prius,Blue,"$26,995",https://www.carpages.ca/used-cars/prince-edward-island/charlottetown/2018-toyota-prius-8365665/
455,2021 Ford F-150,Gray,"$69,988",https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-ford-f-150-8365617/
456,2019 Ford F-150,Velocity Blue,"$117,999",https://www.carpages.ca/used-cars/ontario/new-hamburg/2019-ford-f-150-8365326/
457,2022 Ford F-150,Carbonized Grey Metallic,"$79,780",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8365239/
458,2018 Ford F-150,Black,"$31,988",https://www.carpages.ca/used-cars/ontario/oakville/2018-ford-f-150-8365179/
459,2022 Ford Escape,RAPID RED MET,"$44,344",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-8365122/
460,2019 Tesla Model 3,White,"$77,499",https://www.carpages.ca/used-cars/british-columbia/surrey/2019-tesla-model-3-8363748/
461,2022 Tesla Model 3,White,"$84,499",https://www.carpages.ca/used-cars/british-columbia/surrey/2022-tesla-model-3-8363745/
462,2022 Land Rover Range Rover,,"$153,378",https://www.carpages.ca/new-cars/alberta/edmonton/2022-land-rover-range-rover-8363610/
463,2012 Haulotte Scissor Lift,Yellow,"$11,000",https://www.carpages.ca/used-cars/ontario/sutton-west/2012-haulotte-scissor-lift-8362638/
464,2019 Mitsubishi Outlander,Grey,"$37,999",https://www.carpages.ca/used-cars/ontario/stittsville/2019-mitsubishi-outlander-8362323/
465,2018 Mitsubishi Outlander,Pearl White,"$33,988",https://www.carpages.ca/used-cars/ontario/burlington/2018-mitsubishi-outlander-8361477/
466,2021 RAM 1500,Ivory Tri-Coat Pearl,"$85,999",https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-ram-1500-8361423/
467,2022 Audi Q5,Daytona Gray Pearl,"$74,694",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8361378/
468,2022 Audi Q5,Quantum Gray,"$81,704",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8361369/
469,2022 Audi A5 Sportback,District Green Metallic,"$71,144",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-a5-sportback-8361354/
470,2022 Audi Q5,Ibis White,"$81,404",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8361342/
471,2022 Audi S8,Vesuvius Gray Metallic,"$173,609",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-s8-8361336/
472,2022 Audi A5 Sportback,Mythos Black Metallic,"$72,594",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-a5-sportback-8361333/
473,2022 Audi A4,Glacier White Metallic,"$67,894",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-a4-8361330/
474,2020 Lexus UX,,"$47,995",https://www.carpages.ca/used-cars/ontario/chatham/2020-lexus-ux-8361039/
475,2021 Tesla Model 3,White,"$58,000",https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-3-8358372/
476,2022 Ford Escape,Black,"$41,194",https://www.carpages.ca/new-cars/ontario/cornwall/2022-ford-escape-8356947/
477,2022 Ford F-150,White,"$68,520",https://www.carpages.ca/new-cars/ontario/cornwall/2022-ford-f-150-8356941/
478,2018 Hyundai IONIQ,Silver,"$36,900",https://www.carpages.ca/used-cars/british-columbia/surrey/2018-hyundai-ioniq-8356851/
479,2022 Jeep Wrangler,Granite Crystal Metallic,"$77,900",https://www.carpages.ca/new-cars/british-columbia/surrey/2022-jeep-wrangler-8356167/
480,2021 Jaguar F-PACE,Black,"$99,995",https://www.carpages.ca/used-cars/alberta/edmonton/2021-jaguar-f-pace-8355138/
481,2022 Hyundai IONIQ,Teal,"$62,999",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-ioniq-8355003/
482,2022 Volvo XC60,Denim Blue,"$82,420",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-volvo-xc60-8354940/
483,2021 Ford F-150,Grey,"$78,888",https://www.carpages.ca/used-cars/alberta/red-deer/2021-ford-f-150-8354817/
484,2020 Kia NIRO,Red[Runway Red],"$40,000",https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-kia-niro-8354556/
485,2018 Toyota Highlander,White,"$47,885",https://www.carpages.ca/used-cars/ontario/oakville/2018-toyota-highlander-8354469/
486,2022 Tesla Model 3,Red,"$75,700",https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-3-8353998/
487,2022 Ford F-150,White,"$66,190",https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-8352489/
488,2017 Tesla Model X,White,"$137,995",https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2017-tesla-model-x-8352240/
489,2019 Ford Fusion,White Platinum Metallic Tri-Coat,"$36,990",https://www.carpages.ca/used-cars/british-columbia/sechelt/2019-ford-fusion-8352162/
490,2019 Toyota RAV4,Silver Sky Metallic,"$49,998",https://www.carpages.ca/used-cars/alberta/high-river/2019-toyota-rav4-8351958/
491,2018 Toyota Camry,Grey,"$32,999",https://www.carpages.ca/used-cars/ontario/oakville/2018-toyota-camry-8348868/
492,2019 Tesla Model 3,Black,"$53,700",https://www.carpages.ca/used-cars/ontario/oakville/2019-tesla-model-3-8348616/
493,2022 RAM 1500,Diamond Black Crystal Pearlcoat,"$74,370",https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-ram-1500-8347374/
494,2022 Ford F-150,Oxford White,"$65,840",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8347101/
495,2018 Tesla Model 3,,"$53,888",https://www.carpages.ca/used-cars/british-columbia/abbotsford/2018-tesla-model-3-8345985/
496,2014 Toyota Prius,Black Sand Pearl,"$23,995",https://www.carpages.ca/used-cars/manitoba/brandon/2014-toyota-prius-8345634/
497,2020 RAM 1500,White,"$73,999",https://www.carpages.ca/used-cars/british-columbia/surrey/2020-ram-1500-8345361/
498,2022 Hyundai Elantra,Blue,"$26,999",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-elantra-8344980/
499,2020 Land Rover Range Rover,Santorini Black Metallic,"$104,991",https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-land-rover-range-rover-8344644/
500,2017 Tesla Model S,White,"$82,950",https://www.carpages.ca/used-cars/ontario/oakville/2017-tesla-model-s-8344350/
501,2018 Ford Fusion Energi,Grey,"$23,999",https://www.carpages.ca/used-cars/ontario/toronto/2018-ford-fusion-energi-8343234/
502,2017 Toyota RAV4,Black Sand Pearl,"$37,995",https://www.carpages.ca/used-cars/quebec/laval/2017-toyota-rav4-8339634/
503,2021 Tesla Model 3,White,"$65,497",https://www.carpages.ca/used-cars/alberta/edmonton/2021-tesla-model-3-8339232/
504,2022 Hyundai Elantra,Blue,"$30,924",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-elantra-8338911/
505,2022 Hyundai Elantra,White,"$31,224",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-elantra-8338902/
506,2021 Toyota RAV4,White,"$52,699",https://www.carpages.ca/used-cars/ontario/sudbury/2021-toyota-rav4-8337930/
507,2017 Toyota Prius,Grey,"$28,993",https://www.carpages.ca/used-cars/ontario/kitchener/2017-toyota-prius-8336274/
508,2019 Volvo XC90,Blue,"$67,491",https://www.carpages.ca/used-cars/new-brunswick/fredericton/2019-volvo-xc90-8335980/
509,2019 GMC Sierra 1500,SUMMIT WHITE,"$38,999",https://www.carpages.ca/used-cars/ontario/new-hamburg/2019-gmc-sierra-1500-8335962/
510,2018 Ford F-250,White,"$65,999",https://www.carpages.ca/used-cars/ontario/peterborough/2018-ford-f-250-8335767/
511,2017 Toyota RAV4,White,"$45,209",https://www.carpages.ca/used-cars/british-columbia/coquitlam/2017-toyota-rav4-8335089/
512,2022 Ford Escape,,"$41,794",https://www.carpages.ca/new-cars/alberta/peace-river/2022-ford-escape-8334324/
513,2022 Tesla Model 3,Gray,"$68,999",https://www.carpages.ca/used-cars/ontario/london/2022-tesla-model-3-8332719/
514,2021 Toyota Venza,Blizzard Pearl,"$54,244",https://www.carpages.ca/used-cars/ontario/guelph/2021-toyota-venza-8331837/
515,2019 Honda Accord,Black,"$36,998",https://www.carpages.ca/used-cars/ontario/guelph/2019-honda-accord-8331693/
516,2022 Jeep Wrangler,White,"$74,895",https://www.carpages.ca/new-cars/ontario/thornhill/2022-jeep-wrangler-8331561/
517,2017 Toyota RAV4,White,"$34,245",https://www.carpages.ca/used-cars/ontario/richmond-hill/2017-toyota-rav4-8329773/
518,2018 BMW X5,Silver,"$54,900",https://www.carpages.ca/used-cars/ontario/richmond-hill/2018-bmw-x5-8329722/
519,2018 Kia Soul EV,White,"$32,995",https://www.carpages.ca/used-cars/ontario/cobourg/2018-kia-soul-ev-8329191/
520,2022 Ford Escape,Iconic Silver Metallic,"$44,344",https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8328696/
521,2022 Ford F-150,ICONIC SILVER,"$98,335",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8328390/
522,2022 Ford Explorer,Carbonized Grey Metallic,"$59,204",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-explorer-8328357/
523,2021 Ford Escape,Oxford White,"$45,944",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2021-ford-escape-8328351/
524,2022 Ford F-150,STAR WHITE MET TRI-COAT,"$92,235",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8328294/
525,2022 Ford F-150,Carbonized Grey Metallic,"$64,270",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8328210/
526,2022 Ford Escape,STAR WHITE MET TRI-COAT,"$48,144",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8328171/
527,2022 Ford F-150,Stone Grey,"$61,230",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8328132/
528,2022 Ford F-150,Oxford White,"$65,870",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8328063/
529,2022 Ford F-150,Antimatter Blue,"$78,175",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8328054/
530,2021 Audi Q8,Glacier White Metallic,"$96,000",https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-audi-q8-8327844/
531,2022 Ford F-150,Black,"$67,410",https://www.carpages.ca/new-cars/ontario/cornwall/2022-ford-f-150-8327739/
532,2022 Ford Escape,Iconic Silver Metallic,"$40,094",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-8326989/
533,2017 Tesla Model X,Pearl White Multi-Coat,"$92,480",https://www.carpages.ca/used-cars/british-columbia/abbotsford/2017-tesla-model-x-8326347/
534,2022 RAM 1500,White,"$77,555",https://www.carpages.ca/new-cars/british-columbia/surrey/2022-ram-1500-8326086/
535,2019 Ford Fusion,White,"$30,488",https://www.carpages.ca/used-cars/alberta/edmonton/2019-ford-fusion-8326083/
536,2022 Ford Explorer,Agate Black,"$58,754",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-explorer-8325912/
537,2020 Tesla Model Y,White,"$95,788",https://www.carpages.ca/used-cars/british-columbia/richmond/2020-tesla-model-y-8325756/
538,2022 Ford F-150,STAR WHITE MET TRI-COAT,"$93,735",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8325690/
539,2022 Ford Escape,STAR WHITE MET TRI-COAT,"$49,994",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8325681/
540,2012 Lincoln MKZ,Black,"$9,998",https://www.carpages.ca/used-cars/ontario/toronto/2012-lincoln-mkz-8325600/
541,2022 Ford F-150,Antimatter Blue,"$91,685",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8325588/
542,2015 Toyota Prius v,Gray,"$12,900",https://www.carpages.ca/used-cars/ontario/brampton/2015-toyota-prius-v-8325567/
543,2021 Land Rover Range Rover Sport,Black,"$109,999",https://www.carpages.ca/used-cars/ontario/north-york/2021-land-rover-range-rover-sport-8325045/
544,2022 Jeep Wrangler,FIRECRACKER RED,"$75,064",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-jeep-wrangler-8324115/
545,2022 Jeep Wrangler,Gray,"$66,205",https://www.carpages.ca/new-cars/ontario/thornhill/2022-jeep-wrangler-8323863/
546,2022 Jeep Wrangler,Red,"$76,540",https://www.carpages.ca/new-cars/ontario/thornhill/2022-jeep-wrangler-8323851/
547,2019 Dodge Grand Caravan,Red,"$32,699",https://www.carpages.ca/used-cars/ontario/peterborough/2019-dodge-grand-caravan-8323443/
548,2022 Ford F-150,Atlas Blue Metallic,"$81,105",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8323383/
549,2022 Ford F-150,Agate Black Metallic,"$66,725",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8323341/
550,2022 Ford F-150,Carbonized Grey Metallic,"$69,300",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8323338/
551,2022 Ford F-150,Iconic Silver Metallic,"$74,520",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8323329/
552,2022 Ford F-150,Oxford White,"$66,605",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8323311/
553,2022 Ford F-150,Antimatter Blue Metallic,"$78,930",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8323272/
554,2022 Ford Explorer,Stone Blue Metallic,"$58,269",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-explorer-8323263/
555,2017 Tesla Model X,White,"$104,995",https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2017-tesla-model-x-8323200/
556,2020 Hyundai Ioniq Hybrid,Silver,"$35,000",https://www.carpages.ca/used-cars/ontario/brantford/2020-hyundai-ioniq-hybrid-8322552/
557,2018 Ford Fusion,White,"$33,944",https://www.carpages.ca/used-cars/nova-scotia/yarmouth/2018-ford-fusion-8322093/
558,2018 Toyota RAV4,White,"$45,799",https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-toyota-rav4-8322054/
559,2022 Chevrolet Bolt,Cherry Red Tintcoat,"$35,693",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-chevrolet-bolt-8321760/
560,2021 Jeep Wrangler,Grey,"$56,999",https://www.carpages.ca/used-cars/british-columbia/surrey/2021-jeep-wrangler-8321709/
561,2022 RAM 1500,Black,"$57,730",https://www.carpages.ca/new-cars/alberta/peace-river/2022-ram-1500-8321664/
562,2019 Jaguar I-PACE,Silver,"$78,495",https://www.carpages.ca/used-cars/alberta/edmonton/2019-jaguar-i-pace-8321613/
563,2019 Audi Q8,Grey,"$84,888",https://www.carpages.ca/used-cars/alberta/red-deer/2019-audi-q8-8321229/
564,2022 Ford F-150,Antimatter Blue,"$98,985",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8321163/
565,2022 Ford E-Transit Cargo Van,Oxford White,"$70,438",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-e-transit-cargo-van-8321121/
566,2022 Ford Escape,Agate Black,"$44,294",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8321076/
567,2022 Ford Explorer,STAR WHITE MET TRI-COAT,"$59,054",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-explorer-8320962/
568,2022 Ford F-150,STAR WHITE MET TRI-COAT,"$83,425",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8320944/
569,2022 Ford F-150,ICONIC SILVER,"$70,220",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8320902/
570,2022 Ford Escape,RAPID RED MET TINTED CC,"$39,594",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8320872/
571,2022 Ford F-150,ICONIC SILVER,"$68,960",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8320797/
572,2021 Volvo XC90,BIRCH LIGHT METALLIC,"$97,899",https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-volvo-xc90-8320068/
573,2022 BMW iX,Black Sapphire Metallic,"$119,558",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-bmw-ix-8320023/
574,2021 RAM 1500,Diamond Black Crystal Pearl,"$85,800",https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-ram-1500-8319657/
575,2021 RAM 1500,Bright White,"$52,800",https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2021-ram-1500-8319648/
576,2020 RAM 1500,Bright White,"$49,800",https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2020-ram-1500-8319645/
577,2022 Ford MAVERICK,CYBER ORANGE METALLIC TC,"$36,505",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-maverick-8319423/
578,2022 RAM 1500,Black,"$74,306",https://www.carpages.ca/new-cars/ontario/thornhill/2022-ram-1500-8318904/
579,2022 RAM 1500,Red,"$73,812",https://www.carpages.ca/new-cars/ontario/thornhill/2022-ram-1500-8318898/
580,2018 Ford F-150,SHADOW BLACK,"$57,455.50",https://www.carpages.ca/used-cars/ontario/nipigon/2018-ford-f-150-8318280/
581,2018 Ford Fusion,White,"$33,944",https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2018-ford-fusion-8318070/
582,2022 Ford F-150,Agate Black Metallic,"$81,930",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8318004/
583,2022 Ford Escape,Carbonized Grey Metallic,"$47,844",https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8317473/
